,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,peterlbrandt,apompliano,cashapp,investingcom,coinmarketcap,raoulgmi,charliebilello,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
230,230,230,7405.21,7427.52,6707.0,6796.1,42227.183804,1522886399999,297443582.7461225,277249,20299.402203,142890978.60995668,2018-04-04,5.0,-0.01296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989.228571428571,8341.086,10545.460500000001,0.6351118405613265,0.27288026855946007,-547.7627981321002,-611.9976056076435,64.23480747554333,23.66030918366032
231,231,231,6796.1,6902.0,6566.69,6770.76,39029.73146,1522972799999,263446941.1321242,238476,18991.102712,128270766.86646058,2018-04-05,6.0,0.0391166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6943.602857142857,8209.562,10456.277999999998,0.7054171894813949,0.2529642374400948,-558.1976425220128,-601.2376129905174,43.039970468504634,23.438112134587634
232,232,232,6770.0,6850.0,6500.0,6601.39,27455.01192,1523059199999,182139799.80865908,162456,13778.063462,91424043.79892384,2018-04-06,5.0,0.0076199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6909.482857142857,8099.275,10367.692,0.6787290888326116,0.24322858038986978,-587.6085655895067,-598.5118035103153,10.903237920808579,23.185741184597134
233,233,233,6601.39,7070.0,6586.28,6895.8,32269.578267,1523145599999,222323863.54144785,178577,16460.736226,113334533.85269152,2018-04-07,7.0,-0.1489285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6905.467142857144,8020.080333333333,10294.8289,0.7059703936378108,0.3399247864197229,-453.2290612127872,-569.4552550508097,116.22619383802248,23.04015486633292
234,234,234,6895.81,7109.13,6880.0,7018.0,21427.673165,1523231999999,149967346.66269,152461,11211.615946,78468498.47255658,2018-04-08,4.0,-0.28325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6934.751428571429,7946.447,10221.2199,0.7261636961370334,0.3567915412933945,-319.97600523535584,-519.5594050877189,199.58339985236307,22.75470508554293
235,235,235,7011.04,7185.0,6611.0,6782.72,34078.297206,1523318399999,234309953.7503344,212669,17046.428596,117289580.04655164,2018-04-09,10.0,-0.1149099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6895.711428571429,7880.197,10164.646999999999,0.738279677636567,0.2966617148745265,-327.1706139627777,-481.0816468627307,153.911032899953,22.60750301771095
236,236,236,6781.55,6890.0,6656.0,6843.9,22326.728095,1523404799999,151417844.2663968,147755,11456.447936,77704393.55925176,2018-04-10,2.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6815.524285714286,7790.541333333333,10095.9224,0.6618554858552061,0.2966617148745265,-286.0442368138092,-442.0741648529464,156.0299280391372,22.457856822955385
237,237,237,6839.56,6990.0,6787.0,6953.79,23997.871177,1523491199999,165264003.41270605,155607,12530.65891,86309556.51736282,2018-04-11,4.0,0.420925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6838.051428571429,7717.9563333333335,10031.6603,0.789491215828365,0.3508106960507956,-208.86019092833521,-395.4313700680242,186.57117913968898,22.310574831397286
238,238,238,6953.78,8012.23,6743.2,7923.0,64861.595987,1523577599999,485176252.48933566,404588,33198.867785,248243486.4673706,2018-04-12,12.0,0.1154083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7002.657142857142,7677.056333333333,9964.1392,0.86899478208885,0.6597677211132025,193.8872416839249,-277.5676477176344,471.4548894015593,22.465656519685034
239,239,239,7922.99,8233.39,7732.0,7877.41,55044.523148,1523663999999,439884522.7119489,351905,27485.083044,219615109.06229925,2018-04-13,11.0,0.1274090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7184.9457142857145,7667.303333333333,9893.7182,0.916696921845141,0.6958965535374851,338.7689797036437,-154.30032223337872,493.06930193702243,22.619622048111303
240,240,240,7877.48,8186.0,7810.0,7999.01,31621.286357,1523750399999,252868761.32061628,194500,16283.466045,130249061.31563611,2018-04-14,5.0,0.29294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7342.547142857143,7659.237666666666,9823.1129,0.949038905745882,0.6958965535374851,423.5531341986116,-38.72963094698063,462.28276514559224,22.702236721969722
241,241,241,8004.0,8429.54,7999.02,8355.0,27946.720444,1523836799999,230287099.58430216,181778,14619.464101,120469031.17164706,2018-04-15,3.0,0.0211666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7533.547142857143,7662.404333333333,9737.059000000001,0.6201133841639255,0.7368623120852014,562.5857255331903,81.53344034905359,481.0522851841367,22.818732035434625
242,242,242,8355.07,8419.0,7867.0,8064.92,36664.069715,1523923199999,295817536.4749528,226748,17912.938455,144490340.31244087,2018-04-16,4.0,0.15175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7716.7185714285715,7670.408333333334,9647.0103,0.5440659336002955,0.6795998196715183,478.96480007596165,161.01971229443524,317.9450877815264,22.954608581232304
243,243,243,8064.92,8173.7,7825.4,7885.02,32152.603567,1524009599999,258221765.57371348,221228,15662.79502,125845498.64315924,2018-04-17,3.0,-0.0986666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7865.45,7660.242666666667,9564.360200000001,0.5039604188188507,0.660925787238525,344.83474570609906,197.78271897676802,147.05202672933103,23.032182810771886
244,244,244,7890.96,8236.43,7868.0,8173.0,26969.04457,1524095999999,217649160.1101789,183472,14559.152289,117565317.94569089,2018-04-18,5.0,0.34734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.622857142857,7646.009333333333,9497.0648,0.6212032730666368,0.6763970985263945,369.3154057654183,232.08925633449812,137.22614943092017,23.102861726600732
245,245,245,8173.99,8296.0,8080.0,8278.0,27113.847464,1524182399999,222675105.7884542,196821,13747.595928,112939221.70278835,2018-04-19,4.0,-0.025825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8090.337142857143,7624.943333333333,9435.844799999999,0.7689073334122851,0.6918054959438348,393.8026647400957,264.4319380156177,129.370726724478,23.160866305423337
246,246,246,8273.84,8930.0,8177.09,8856.98,39795.337485,1524268799999,337288580.42571294,289687,21087.903673,178802594.3551453,2018-04-20,10.0,0.2259399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8230.275714285714,7624.009333333333,9375.3437,0.8587555715130866,0.8055222658053979,590.4529659797827,329.6361436084507,260.81682237133197,23.310428370671186
247,247,247,8852.12,9035.0,8565.0,8915.31,40872.229909,1524355199999,358915978.10403395,295374,21145.842391,185753264.88447425,2018-04-21,5.0,0.14756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8361.175714285713,7630.423,9332.108999999999,0.9126645143735675,0.8183316112382775,657.6922321183274,395.2473613104261,262.44487080790134,23.461831240598812
248,248,248,8915.31,9020.67,8727.68,8787.02,29458.25348,1524441599999,261804372.9093471,229871,14937.899116,132830238.35538778,2018-04-22,22.0,0.1792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8422.892857142857,7626.722666666667,9282.5791,0.9450098800898562,0.8183316112382774,595.9434319704769,435.3865754424363,160.5568565280406,23.57579597524152
249,249,249,8785.7,8985.0,8745.0,8934.01,25838.114709,1524527999999,229754640.59668773,190944,13246.605059,117823053.82786416,2018-04-23,9.0,0.1698333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8547.048571428571,7639.627666666666,9229.8192,0.9669646016493979,0.8183316112382774,583.3523897750438,464.9797383089579,118.37265146608587,23.47748088014902
250,250,250,8934.0,9731.01,8922.0,9619.99,46268.790106,1524614399999,431210048.0625035,326608,24784.71044,231061865.29310417,2018-04-24,10.0,0.17223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8794.901428571427,7677.955666666666,9191.269199999999,0.6347569938628042,0.8943099939171164,790.5321121720172,530.0902130815698,260.44189909044735,23.53142970394084
251,251,251,9618.96,9759.82,8730.0,8869.99,81110.037589,1524700799999,745137762.9688668,477363,38824.013806,356851505.69270617,2018-04-25,11.0,0.0653090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8894.471428571429,7702.481000000001,9144.5698,0.483502510784165,0.7955092123751223,552.6078510659045,534.5937406784367,18.01411038746778,23.804920724574036
252,252,252,8869.99,9307.48,8651.62,9266.0,43300.304245,1524787199999,385046648.1378661,285850,22640.669137,201458888.2401515,2018-04-26,13.0,-0.0028307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9035.614285714286,7751.497333333334,9128.2298,0.4572450474815299,0.7561598372880485,557.8704811821972,539.2490887791888,18.62139240300837,24.034585265746873
253,253,253,9267.03,9395.0,8889.0,8915.35,37241.347036,1524873599999,342805674.55176014,268471,18517.604275,170503662.7235787,2018-04-27,12.0,0.15255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9043.952857142856,7783.698999999999,9107.4954,0.5285910998580774,0.7707687029243725,394.38792215377725,510.2768554541065,-115.88893330032926,24.249916820204483
