date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,investingcom,charliebilello,peterlbrandt,raoulgmi,coinmarketcap,apompliano,cashapp
2020-08-07,20,0.20764000000000005,0,0,0,2,0,0,2,0,0,0
2020-08-06,16,0.07382500000000002,0,0,0,0,0,0,2,0,0,0
2020-08-05,20,-0.04271999999999999,0,0,0,0,0,0,0,0,0,0
2020-08-04,24,0.17466666666666664,0,0,0,0,0,0,0,0,0,0
2020-08-03,14,0.09910000000000004,0,0,0,0,0,0,0,0,0,0
2020-08-02,16,-0.011087499999999997,0,0,0,2,0,0,0,0,0,0
2020-08-01,14,0.23388571428571425,0,0,0,0,0,0,0,0,0,0
2020-07-31,16,0.34936249999999996,0,0,0,0,0,0,0,0,0,0
2020-07-30,6,0.3649,0,0,0,0,0,0,0,0,0,0
2020-07-29,8,0.3485,0,0,0,0,0,0,0,0,0,0
2020-07-28,34,0.2100470588235294,0,0,2,0,0,2,0,0,0,0
2020-07-27,42,0.19985714285714282,0,0,0,0,0,2,2,0,2,0
2020-07-26,6,-0.09553333333333335,0,0,0,0,0,0,0,0,0,0
2020-07-25,2,0.7768,0,0,0,0,0,0,0,0,0,0
2020-07-24,16,0.46658750000000004,0,0,0,0,0,0,0,0,0,0
2020-07-23,8,0.450425,0,0,0,0,0,0,0,0,0,0
2020-07-22,26,0.3344384615384615,0,0,0,0,0,2,0,0,0,0
2020-07-21,16,0.22287499999999996,0,0,2,0,0,0,2,0,0,0
2020-07-20,6,0.446,0,0,0,0,0,0,0,0,0,0
2020-07-19,4,0.0904,0,0,0,0,0,0,0,0,0,0
2020-07-18,10,0.2069,0,0,0,0,0,0,0,0,0,0
2020-07-17,12,0.3012166666666667,0,0,0,0,0,0,0,0,0,0
2020-07-16,18,0.035544444444444455,0,0,0,0,0,0,0,0,0,0
2020-07-15,28,-0.1031,0,0,0,0,0,0,0,0,0,0
2020-07-14,8,0.35475,0,0,0,0,0,0,0,0,0,0
2020-07-13,12,-0.048033333333333324,0,0,0,0,0,0,0,0,0,0
2020-07-12,8,0.361825,0,0,0,0,0,0,0,0,0,0
2020-07-10,6,0.46159999999999995,0,0,0,0,0,0,0,0,0,0
2020-07-09,10,0.40493999999999997,0,0,2,0,0,0,0,0,0,0
