date,tweet_count,daily_sent,narendramodi,amitshah,eos,brendanblumer,ryangirdusky,sentedcruz,elienyc,binance,whcos,yamiche
2020-11-02,80,0.4137900000000001,0,0,0,0,0,0,0,0,0,0
2020-11-01,32,0.35547499999999993,0,0,0,0,0,0,0,0,0,0
2020-10-31,32,-0.28034999999999993,0,0,1,0,0,0,0,0,0,0
2020-10-30,16,0.0386,0,0,0,0,0,0,0,0,0,0
2020-10-29,64,0.20434999999999995,0,0,1,0,0,0,0,1,0,0
2020-10-28,64,0.08753750000000002,0,0,0,0,0,0,0,0,0,0
2020-10-27,48,0.63975,0,0,1,0,0,0,0,0,0,0
2020-10-26,56,0.2869428571428571,0,0,1,0,0,0,0,0,0,0
2020-10-25,56,0.1383142857142857,0,0,0,0,0,0,0,0,0,0
2020-10-24,48,-0.06523333333333332,0,0,0,0,0,0,0,1,0,0
2020-10-23,48,-0.04911666666666664,0,0,1,0,0,0,0,0,0,0
2020-10-22,112,0.15750714285714287,0,0,0,0,0,0,0,1,0,0
2020-10-21,48,0.22613333333333338,0,0,1,1,0,0,0,0,0,0
2020-10-20,64,0.1300625,0,0,0,0,0,0,0,0,0,0
2020-10-19,32,0.25145000000000006,0,0,0,0,0,0,0,0,0,0
2020-10-18,24,-0.022266666666666667,0,0,0,0,0,0,0,0,0,0
2020-10-17,16,-0.23835000000000003,0,0,0,0,0,0,0,0,0,0
2020-10-16,80,0.11059000000000001,0,0,0,0,0,0,0,1,0,0
2020-10-15,64,0.3319625,0,0,0,0,0,0,0,0,0,0
2020-10-14,40,0.5010799999999999,0,0,0,0,0,0,0,0,0,0
2020-10-13,16,-0.10114999999999999,0,0,0,0,0,0,0,0,0,0
2020-10-12,72,0.3675333333333336,0,0,0,0,0,0,0,0,0,0
2020-10-11,8,0.8263999999999998,0,0,0,0,0,0,0,0,0,0
2020-10-10,16,0.5464,0,0,0,1,0,0,0,0,0,0
2020-10-09,56,0.35317142857142864,0,0,0,1,0,0,0,0,0,0
2020-10-08,48,0.14003333333333334,0,0,1,0,0,0,0,0,0,0
2020-10-07,136,0.1618235294117647,0,0,0,1,0,0,0,0,0,0
2020-10-06,96,0.31235833333333335,0,0,1,1,0,0,0,0,0,0
2020-10-05,48,0.17851666666666663,0,0,0,0,0,0,0,0,0,0
2020-10-04,16,0.0,0,0,0,0,0,0,0,0,0,0
2020-10-03,24,0.07439999999999997,0,0,0,0,0,0,0,0,0,0
2020-10-02,40,0.3390800000000001,0,0,0,0,0,0,0,0,0,0
2020-10-01,80,0.2262800000000001,0,0,0,0,0,0,0,0,0,0
2020-09-30,56,0.2868714285714286,0,0,0,0,0,0,0,0,0,0
2020-09-29,40,0.11392,0,0,0,0,0,0,0,0,0,0
2020-09-28,48,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-27,32,-0.16822500000000004,0,0,0,0,0,0,0,0,0,0
2020-09-26,48,0.11973333333333334,0,0,0,0,0,0,0,0,0,0
2020-09-25,96,0.07753333333333337,0,0,0,0,0,0,0,0,0,0
2020-09-24,88,0.21797272727272726,0,0,0,0,0,0,0,0,0,0
2020-09-23,72,0.03285555555555556,0,0,1,0,0,0,0,0,0,0
2020-09-22,32,0.11470000000000001,0,0,0,0,0,0,0,0,0,0
2020-09-21,56,0.40605714285714267,0,0,0,0,0,0,0,0,0,0
2020-09-20,24,0.4618,0,0,0,0,0,0,0,0,0,0
2020-09-19,24,-0.22349999999999995,0,0,0,0,0,0,0,0,0,0
2020-09-18,40,0.06880000000000001,0,0,0,0,0,0,0,0,0,0
2020-09-17,72,0.1374444444444444,0,0,0,0,0,0,0,0,0,0
2020-09-16,64,0.2354124999999999,0,0,0,0,0,0,0,0,0,0
2020-09-15,40,-0.005719999999999997,0,0,0,0,0,0,0,0,0,0
2020-09-14,24,0.1589,0,0,0,0,0,0,0,0,0,0
2020-09-13,16,0.70285,0,0,0,0,0,0,0,0,0,0
2020-09-12,24,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-11,136,0.04747058823529414,0,0,1,0,0,0,0,0,0,0
2020-09-10,88,0.2509090909090909,0,0,0,0,0,0,0,1,0,0
2020-09-09,56,0.007557142857142852,0,0,0,0,0,0,0,0,0,0
2020-09-08,96,0.12366666666666672,0,0,0,0,0,0,0,0,0,0
2020-09-07,48,0.20856666666666665,0,0,0,0,0,0,0,0,0,0
2020-09-06,32,0.4046250000000001,0,0,0,1,0,0,0,0,0,0
2020-09-05,120,0.1256866666666667,0,0,0,1,0,0,0,0,0,0
2020-09-04,128,0.22558749999999997,0,0,1,1,0,0,0,0,0,0
2020-09-03,64,0.10026249999999995,0,0,0,0,0,0,0,0,0,0
2020-09-02,88,0.15670909090909088,0,0,1,0,0,0,0,0,0,0
2020-09-01,112,0.4161499999999997,0,0,1,1,0,0,0,0,0,0
2020-08-31,40,0.09022000000000001,0,0,0,0,0,0,0,0,0,0
2020-08-30,40,0.19699999999999995,0,0,1,0,0,0,0,0,0,0
2020-08-29,16,0.20095,0,0,0,0,0,0,0,0,0,0
2020-08-28,103,0.1580388349514563,0,0,1,0,0,0,0,1,0,0
2020-08-27,16,0.1591,0,0,0,0,0,0,0,0,0,0
2020-08-26,128,0.4464875000000002,0,0,1,0,0,0,0,0,0,0
2020-08-25,56,0.05737142857142855,0,0,0,0,0,0,0,0,0,0
2020-08-24,56,0.26585714285714296,0,0,0,1,0,0,0,0,0,0
2020-08-23,24,0.5375333333333333,0,0,0,1,0,0,0,0,0,0
2020-08-22,32,0.516175,0,0,1,0,0,0,0,0,0,0
2020-08-21,72,0.12890000000000001,0,0,0,1,0,0,0,0,0,0
2020-08-20,48,0.3486833333333333,0,0,0,0,0,0,0,0,0,0
2020-08-19,48,0.3670666666666666,0,0,1,0,0,0,0,0,0,0
2020-08-18,24,0.29596666666666666,0,0,1,0,0,0,0,0,0,0
2020-08-17,120,0.27712000000000014,0,0,0,0,0,0,0,0,0,0
2020-08-16,100,0.2504859999999999,0,0,0,0,0,0,0,0,0,0
2020-08-15,144,0.5550722222222224,0,0,0,1,0,0,0,0,0,0
2020-08-14,80,0.09569000000000003,0,0,0,1,0,0,0,0,0,0
2020-08-13,64,0.035387499999999975,0,0,0,0,0,0,0,0,0,0
2020-08-12,88,0.14209090909090916,0,0,0,0,0,0,0,0,0,0
2020-08-11,64,0.23348750000000013,0,0,0,0,0,0,0,0,0,0
2020-08-10,224,-0.031832142857142844,0,0,0,1,0,0,0,0,0,0
2020-08-09,320,0.2199524999999999,0,0,0,0,0,0,0,0,0,0
2020-08-08,296,0.05287297297297296,0,0,0,1,0,0,0,0,0,1
2020-08-07,240,0.06436000000000003,0,0,0,1,0,0,0,0,0,0
2020-08-06,112,0.02297142857142856,0,0,0,0,0,0,0,0,0,0
2020-08-05,64,0.29405,0,0,0,1,0,0,0,0,0,0
2020-08-04,80,0.11941000000000009,0,0,0,0,0,0,0,0,0,0
2020-08-03,112,0.14440714285714293,0,0,1,0,0,0,0,0,0,0
2020-08-02,88,-0.008009090909090915,0,0,0,1,0,0,0,0,0,0
2020-08-01,104,0.16979230769230774,0,0,0,1,0,0,0,0,0,0
2020-07-31,104,0.03598461538461538,0,0,0,0,0,0,0,1,0,0
2020-07-30,176,-0.006527272727272743,0,0,0,0,0,0,0,0,0,0
2020-07-29,112,0.02746428571428572,0,0,0,0,0,0,0,0,0,0
2020-07-28,136,0.16163529411764702,0,0,0,1,0,0,0,0,0,0
2020-07-27,192,0.33157499999999984,0,0,0,1,0,0,0,1,0,0
2020-07-26,40,0.08318,0,0,0,1,0,0,0,0,0,0
2020-07-25,104,0.12755384615384618,0,0,0,0,0,0,0,0,0,0
2020-07-24,120,0.3001866666666666,0,0,0,1,0,0,0,0,0,0
2020-07-23,64,0.03370000000000001,0,0,0,0,0,0,0,0,0,0
2020-07-22,80,0.17668,0,0,1,0,0,0,0,0,0,0
2020-07-21,80,-0.06955,0,0,0,0,0,0,0,0,0,0
2020-07-20,160,0.17449499999999998,0,0,0,0,0,0,0,0,0,0
2020-07-19,56,0.11991428571428574,0,0,0,0,0,0,0,0,0,0
2020-07-18,40,0.29774,0,0,0,0,0,0,0,0,0,0
2020-07-17,96,0.1720749999999999,0,0,1,0,0,0,0,0,0,0
2020-07-16,56,0.023114285714285705,0,0,0,0,0,0,0,0,0,0
2020-07-15,56,0.11364285714285713,0,0,0,0,0,0,0,0,0,0
2020-07-14,96,0.01633333333333333,0,0,0,0,0,0,0,0,0,0
2020-07-13,144,0.05569444444444446,0,0,0,0,0,0,0,0,0,0
2020-07-12,72,0.006277777777777778,0,0,0,0,0,0,0,0,0,0
2020-07-11,168,0.22052380952380946,0,0,0,0,0,0,0,0,0,0
2020-07-10,200,0.10736000000000002,0,0,0,0,0,0,0,0,0,0
2020-07-09,728,0.15905934065934046,0,0,1,0,0,0,0,0,0,0
2020-07-08,96,0.25414166666666665,0,0,0,0,0,0,0,0,0,0
2020-07-07,120,0.21977333333333338,0,0,1,0,0,0,0,0,0,0
2020-07-06,56,0.12952857142857147,0,0,0,0,0,0,0,0,0,0
2020-07-05,8,0.0,0,0,0,0,0,0,0,0,0,0
2020-07-04,40,0.1452,0,0,0,0,0,0,0,0,0,0
2020-07-03,16,0.0,0,0,0,0,0,0,0,0,0,0
2020-07-02,64,0.38399999999999995,0,0,1,0,0,0,0,0,0,0
2020-07-01,64,0.32264999999999994,0,0,1,0,0,0,0,0,0,0
2020-06-30,56,0.4577285714285713,0,0,1,0,0,0,0,0,0,0
