,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,brendanblumer,elienyc,binance,whcos,yamiche,rashtrapatibhvn,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
343,343,343,4.8808,4.9903,4.6367,4.894,5344850.46,1557187199999,25640291.407597,57482,2779705.26,13320970.580214,2019-05-06,10.0,0.18483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.880699999999999,5.138623333333333,3.965098,0.529776192324696,0.4495517591373836,-0.00642585314098465,-0.0651577079967776,0.05873185485579295,23.486038100047825
344,344,344,4.8935,5.06,4.805,4.8492,5194763.13,1557273599999,25658586.824974,59695,2549923.79,12596932.765877,2019-05-07,7.0,0.2567428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885457142857143,5.119573333333333,3.990068,0.5098439111933619,0.4960806561374518,-0.024418969358700693,-0.05700996026916222,0.032590990910461526,23.377180992325155
345,345,345,4.8484,4.9381,4.7559,4.9,3239903.53,1557359999999,15754343.079366,38251,1926585.4,9364138.945617,2019-05-08,8.0,0.2542999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.905214285714286,5.099563333333333,4.016801,0.5047134351556943,0.46418758024038564,-0.01196138842913097,-0.048000245901155966,0.036038857472024996,23.326905705075994
346,346,346,4.8993,5.0,4.783,4.85,3180153.16,1557446399999,15504124.255311,37790,1578517.69,7702698.846496,2019-05-09,8.0,0.1359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.914785714285714,5.077126666666667,4.04274,0.6260130183454525,0.5100110010284091,-0.024099010797708154,-0.04321999888046641,0.019120988082758257,23.283031762781036
347,347,347,4.8499,4.9545,4.5706,4.8134,5683603.38,1557532799999,27236858.282372,70796,2830765.7,13569118.228526,2019-05-10,6.0,0.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.876114285714286,5.04285,4.067612,0.7093828284472848,0.381003388279788,-0.04117204643757777,-0.04281040839188869,0.0016383619543109199,23.328996144189762
348,348,348,4.8144,5.7602,4.8144,5.4125,12663907.62,1557619199999,66821529.746011,132942,6096530.18,32198434.504676,2019-05-11,5.0,0.27152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.9425857142857135,5.04734,4.098648,0.7594047145083843,0.706238501738827,0.17384444121431653,0.0005205615293523649,0.17332387968496415,23.76485197167595
349,349,349,5.4309,5.756,5.171,5.3319,9646294.06,1557705599999,52648572.70218,102947,4805312.91,26264049.673336,2019-05-12,3.0,0.3311333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007285714285715,5.04736,4.128704,0.8036187336563246,0.706238501738827,0.22587528978251648,0.045591507179985204,0.18028378260253128,24.243982182072543
350,350,350,5.3331,5.7829,5.2809,5.5185,6279479.22,1557791999999,34694862.996962,75226,3199404.14,17667921.483241,2019-05-13,10.0,0.16791,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0965,5.0551200000000005,4.1594999999999995,0.8776040699310724,0.7129427849573278,0.30178363817656884,0.09682993337930196,0.20495370479726688,24.723710378008036
351,351,351,5.5187,6.2174,5.5001,5.9992,11014439.83,1557878399999,64745645.390678,118264,5818807.17,34202574.292789,2019-05-14,19.0,0.4062894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.260785714285714,5.070353333333333,4.195785,0.9250758083407501,0.798605314072043,0.4908150132688869,0.17562694935721898,0.31518806391166787,25.276328140175764
352,352,352,6.0007,6.5464,5.95,6.4644,6195112.33,1557964799999,38853572.215676,64858,3102713.68,19450613.262254,2019-05-15,7.0,0.1411142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.484271428571428,5.108386666666667,4.236456,0.9545767685603767,0.8402543908499478,0.7105809415909654,0.2826177478039683,0.4279631937869971,25.813353200766777
