,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
259,259,259,688.55,792.08,685.39,779.0,229419.209,1525391999999,169982888.3383364,210459,118584.02308,87775109.7736009,2018-05-03,5.0,0.15842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,689.6442857142857,553.0123333333333,702.7543,0.7703019906731675,0.7927068059346365,72.69014417412586,57.04699883982371,15.643145334302154,26.266249800903843
260,260,260,779.0,810.0,756.91,785.99,179924.40215,1525478399999,141283262.9241322,161690,90632.87892,71235800.1478963,2018-05-04,5.0,0.27058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,710.0057142857142,566.6066666666667,700.0042,0.8535392150570681,0.8102705794702141,83.55092710867075,62.347784493593124,21.203142615077624,26.433315929284255
261,261,261,785.8,832.66,781.56,819.5,128631.18764,1525564799999,104594301.6093639,121136,68646.32685,55817590.007575,2018-05-05,1.0,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.5257142857143,581.216,697.6340000000001,0.6598249946294737,0.8311450893637605,94.97420457306214,68.87306850948694,26.101136063575197,26.57745065566223
262,262,262,819.5,839.99,752.49,794.3,166871.16002,1525651199999,132187629.450689,154829,83663.13801,66427974.4234199,2018-05-06,,,,,,,,,,,,,744.3042857142857,595.3963333333334,695.0667000000001,0.741280414572088,0.7147421298529667,84.35267783609424,71.9689903748084,12.383687461285845,26.827115395548134
263,263,263,794.3,799.14,701.0,752.49,284237.06328,1525737599999,210066185.2861296,232411,128638.27791,95026417.2870986,2018-05-07,3.0,0.0078666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,755.9771428571429,607.6623333333333,691.4017,0.7901536665376566,0.5556882807325104,58.79617106100193,69.3344265120471,-10.538255451045174,26.868782434338144
264,264,264,753.0,777.0,720.02,748.99,135106.19621,1525823999999,101156197.2573318,126971,65785.64028,49239934.894471,2018-05-08,2.0,0.2002499999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,766.9757142857143,619.2819999999999,686.372,0.8507194327106692,0.5556882807325104,42.518606721061815,63.971262553850046,-21.45265583278823,26.833343633297186
265,265,265,748.99,760.74,710.26,751.75,112353.37758,1525910399999,82933836.454514,104593,56905.42297,42032849.917335,2018-05-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,776.0028571428571,631.0256666666667,682.1194,0.6125433478032861,0.5261408603209122,33.642421725683676,57.90549438821677,-24.263072662533098,26.820053137386726
266,266,266,752.4,769.88,720.0,722.52,102019.29933,1525996799999,76658823.4630308,99850,51561.01377,38797465.5744748,2018-05-10,5.0,0.10212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,767.9342857142857,641.2406666666666,678.4896000000001,0.7274623093285402,0.5518874507789246,16.835580112640855,49.69151153310159,-32.855931420460735,26.806414205942062
267,267,267,722.52,737.23,663.0,676.96,216953.54991,1526083199999,150336847.8280685,192008,101003.74344,69952774.7120749,2018-05-11,2.0,0.29295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.3585714285715,649.4886666666666,674.0111,0.8200798529760779,0.39676352937470283,-8.275089927187082,38.09819124104386,-46.37328116823094,26.822559122459005
268,268,268,676.96,690.2,633.2,684.11,166801.07487,1526169599999,111101666.3239263,159177,78843.94356,52499825.0038048,2018-05-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,733.0171428571429,655.77,670.4328,0.7000088156668557,0.3392423667437701,-15.983040949300062,27.281944802975072,-43.26498575227514,26.894295019888126
